start station name,start_lat,start_lng,end_lat,end_lng,NTACode
Hamilton Pl & W 140 St,40.822756,-73.951346,40.823498,-73.94386,MN04
Amsterdam Ave & W 152 St,40.829522999999995,-73.94427900000001,40.830663,-73.941323,MN04
W 145 St & Amsterdam Ave,40.825244,-73.947257,40.816355,-73.954295,MN04
W 140 St & Riverside Dr,40.824013,-73.95474300000001,40.8109494,-73.9634,MN04
W 145 St & Amsterdam Ave,40.825244,-73.947257,40.823060999999996,-73.941928,MN04
Convent Ave & W 151 St,40.828309999999995,-73.942924,40.816234,-73.948222,MN04
W 145 St & Amsterdam Ave,40.825244,-73.947257,40.77163851,-73.98261428,MN04
Riverside Dr & W 138 St,40.823168,-73.955857,40.835775,-73.9434,MN04
Edgecombe Ave & W 145 St,40.823498,-73.94386,40.813358,-73.956461,MN04
Riverside Dr & W 138 St,40.823168,-73.955857,40.84004,-73.942939,MN04
Riverside Dr & W 148 St,40.829114000000004,-73.95042600000001,40.793134809866636,-73.97700369358063,MN04
Hamilton Pl & W 140 St,40.822756,-73.951346,40.8125511,-73.9492286,MN04
Riverside Dr & W 153 St,40.832164,-73.949702,40.785785100000005,-73.957481,MN04
Riverside Dr & W 138 St,40.823168,-73.955857,40.777507027547976,-73.98888587951659,MN04
St Nicholas Ave & W 150 St,40.827212,-73.942722,40.85168,-73.94185999999999,MN04
W 145 St & Amsterdam Ave,40.825244,-73.947257,40.8114323,-73.95187759999999,MN04
St Nicholas Ave & W 150 St,40.827212,-73.942722,40.828309999999995,-73.942924,MN04
E 53 St & Lexington Ave,40.75828065,-73.97069431,40.74311555376486,-73.98215353488922,MN19
E 58 St & 3 Ave,40.76095756,-73.96724467,40.77801203,-73.95407149,MN19
1 Ave & E 44 St,40.75001986,-73.96905301,40.797470000000004,-73.93504,MN19
E 51 St & Lexington Ave,40.75714758,-73.97207836,40.74311555376486,-73.98215353488922,MN19
FDR Drive & E 35 St,40.744219,-73.97121214,40.744219,-73.97121214,MN19
E 47 St & 1 Ave,40.75206862,-73.96784384,40.72317958,-73.99480012,MN19
E 55 St & 2 Ave,40.75797322,-73.96603308,40.75492,-73.98455,MN19
E 44 St & 2 Ave,40.75118387463277,-73.97138714790343,40.739445,-73.97680600000001,MN19
E 43 St & 2 Ave,40.75022392,-73.97121414,40.752269,-73.982079,MN19
E 55 St & 2 Ave,40.75797322,-73.96603308,40.75500254,-73.98014437,MN19
E 51 St & 2 Ave,40.755293,-73.967641,40.74714,-73.97113,MN19
1 Ave & E 39 St,40.74714,-73.97113,40.76500525,-73.95818491,MN19
E 47 St & Park Ave,40.75510267,-73.97498696,40.77282817,-73.96685276,MN19
E 45 St & 3 Ave,40.75255434,-73.97282625,40.744219,-73.97121214,MN19
E 55 St & 2 Ave,40.75797322,-73.96603308,40.73381219196632,-73.9805442094803,MN19
E 54 St & 1 Ave,40.756265,-73.964179,40.75892386377695,-73.96226227283478,MN19
E 53 St & Lexington Ave,40.75828065,-73.97069431,40.73342399437081,-74.00851495563984,MN19
1 Ave & E 39 St,40.74714,-73.97113,40.7691572,-73.96703464,MN19
E 58 St & 3 Ave,40.76095756,-73.96724467,40.77282817,-73.96685276,MN19
1 Ave & E 39 St,40.74714,-73.97113,40.752165280621966,-73.97992193698882,MN19
E 53 St & 3 Ave,40.75763227739443,-73.9693057537079,40.75763227739443,-73.9693057537079,MN19
1 Ave & E 44 St,40.75001986,-73.96905301,40.751872999999996,-73.97770600000001,MN19
E 51 St & 2 Ave,40.755293,-73.967641,40.816234,-73.948222,MN19
E 58 St & 3 Ave,40.76095756,-73.96724467,40.76360467795863,-73.98917958140373,MN19
1 Ave & E 39 St,40.74714,-73.97113,40.752269,-73.982079,MN19
E 53 St & 3 Ave,40.75763227739443,-73.9693057537079,40.76584941,-73.98690506,MN19
E 47 St & 1 Ave,40.75206862,-73.96784384,40.75594159,-74.0021163,MN19
FDR Drive & E 35 St,40.744219,-73.97121214,40.75971079999999,-73.97402311,MN19
E 47 St & Park Ave,40.75510267,-73.97498696,40.74395411,-73.99144871,MN19
E 51 St & 1 Ave,40.75455731,-73.96592976,40.76500525,-73.95818491,MN19
E 55 St & 2 Ave,40.75797322,-73.96603308,40.77140426,-73.9535166,MN19
E 54 St & 1 Ave,40.756265,-73.964179,40.76663814,-73.95348296,MN19
E 54 St & 1 Ave,40.756265,-73.964179,40.751581,-73.97791,MN19
E 51 St & 1 Ave,40.75455731,-73.96592976,40.761227399999996,-73.96094022,MN19
FDR Drive & E 35 St,40.744219,-73.97121214,40.71893904,-73.99266288,MN19
FDR Drive & E 35 St,40.744219,-73.97121214,40.70569254,-74.01677685,MN19
E 47 St & 2 Ave,40.75323098,-73.97032517,40.73912601,-73.97973776,MN19
E 54 St & 1 Ave,40.756265,-73.964179,40.759125,-73.96265799999999,MN19
E 54 St & 1 Ave,40.756265,-73.964179,40.75797322,-73.96603308,MN19
E 55 St & 2 Ave,40.75797322,-73.96603308,40.7691572,-73.96703464,MN19
E 48 St & 3 Ave,40.7546011026,-73.971878855,40.7734066,-73.97782542,MN19
FDR Drive & E 35 St,40.744219,-73.97121214,40.73172428,-74.00674436,MN19
E 48 St & 3 Ave,40.7546011026,-73.971878855,40.75863,-73.97513000000001,MN19
E 53 St & 3 Ave,40.75763227739443,-73.9693057537079,40.76087502,-74.00277668,MN19
FDR Drive & E 35 St,40.744219,-73.97121214,40.72621788,-73.98379855,MN19
E 51 St & 1 Ave,40.75455731,-73.96592976,40.75797322,-73.96603308,MN19
E 58 St & 3 Ave,40.76095756,-73.96724467,40.7734066,-73.97782542,MN19
E 53 St & Lexington Ave,40.75828065,-73.97069431,40.75206862,-73.96784384,MN19
E 47 St & 1 Ave,40.75206862,-73.96784384,40.781122299341654,-73.94965589046478,MN19
E 51 St & Lexington Ave,40.75714758,-73.97207836,40.75019995,-73.99093085,MN19
E 43 St & 2 Ave,40.75022392,-73.97121414,40.77163851,-73.98261428,MN19
E 58 St & 3 Ave,40.76095756,-73.96724467,40.75797322,-73.96603308,MN19
FDR Drive & E 35 St,40.744219,-73.97121214,40.768333,-73.992573,MN19
E 51 St & 2 Ave,40.755293,-73.967641,40.7779453,-73.94604100000001,MN19
1 Ave & E 39 St,40.74714,-73.97113,40.74394314,-73.97966069,MN19
E 51 St & 1 Ave,40.75455731,-73.96592976,40.763025942805186,-73.97209525108337,MN19
FDR Drive & E 35 St,40.744219,-73.97121214,40.751551,-73.993934,MN19
